"iter","train_mlogloss_mean","train_mlogloss_std","test_mlogloss_mean","test_mlogloss_std"
83,1.36282133333333,0.00180255047697201,1.37982666666667,0.00369185791827463
84,1.36263366666667,0.00177408386379521,1.37977466666667,0.00370717109879668
85,1.36244333333333,0.00178695314862923,1.37971833333333,0.0037079800730295
86,1.36224966666667,0.00177823251817306,1.379667,0.00371717374718312
87,1.36207133333333,0.00176278970824463,1.37961866666667,0.00373499150674751
88,1.36187666666667,0.00176715106568333,1.37956933333333,0.00373885457799284
89,1.361703,0.00176921131199259,1.37952633333333,0.0037397170421661
90,1.36151933333333,0.00176371224661895,1.37948466666667,0.00375247974304506
91,1.36132733333333,0.00174749465106242,1.37942966666667,0.00375637771734485
92,1.36116233333333,0.00175337338350852,1.379394,0.00376795152122015
93,1.36100933333333,0.00172875414359184,1.37936966666667,0.00377322252489252
